mes,regiao,modalidade,canal,unidade,matriculas,meta_matriculas,receita,custo_operacional,taxa_evasao,taxa_conclusao,satisfacao_media
Out,Sudeste,Graduação,Online,Unidade Sul,58,65,50548.21,32997.6,0.0615,0.8615,7.98
Out,Sudeste,Graduação,Presencial,Unidade Sul,70,76,59430.95,39314.38,0.0521,0.8808,9.09
Out,Sudeste,Graduação,Híbrido,Unidade Norte,58,64,49620.56,28482.73,0.0951,0.8112,9.09
Out,Sudeste,Pós-Graduação,Online,Unidade Norte,63,67,77956.85,53164.43,0.0993,0.8066,8.13
Out,Sudeste,Pós-Graduação,Presencial,Unidade Norte,56,59,67570.17,45107.74,0.0986,0.8206,8.4
Out,Sudeste,Pós-Graduação,Híbrido,Unidade Sul,68,76,84374.11,54991.4,0.1066,0.8428,9.09
Out,Sudeste,Cursos Livres,Online,Unidade Norte,68,74,28475.23,18994.69,0.0802,0.8636,8.89
Out,Sudeste,Cursos Livres,Presencial,Unidade Centro,63,66,26172.98,15790.79,0.073,0.8422,8.85
Out,Sudeste,Cursos Livres,Híbrido,Unidade Norte,60,67,24953.86,14568.46,0.1099,0.8146,7.98
Out,Sul,Graduação,Online,Unidade Centro,61,66,52365.23,29971.24,0.0882,0.8607,8.88
Out,Sul,Graduação,Presencial,Unidade Centro,66,72,58803.85,33421.55,0.0568,0.8519,8.43
Out,Sul,Graduação,Híbrido,Unidade Centro,60,67,48901.86,33740.67,0.0576,0.8625,9.5
Out,Sul,Pós-Graduação,Online,Unidade Sul,56,62,68124.36,45103.98,0.0797,0.8614,9.48
Out,Sul,Pós-Graduação,Presencial,Unidade Norte,63,68,76263.54,42221.69,0.0548,0.8771,7.84
Out,Sul,Pós-Graduação,Híbrido,Unidade Centro,63,66,77094.39,45010.11,0.1144,0.7965,9.25
Out,Sul,Cursos Livres,Online,Unidade Sul,68,74,27663.51,15549.39,0.1042,0.8229,8.03
Out,Sul,Cursos Livres,Presencial,Unidade Centro,69,72,30166.41,17185.88,0.1024,0.8472,8.18
Out,Sul,Cursos Livres,Híbrido,Unidade Sul,66,69,28155.08,16590.55,0.1165,0.8301,8.28
Out,Nordeste,Graduação,Online,Unidade Centro,58,63,50715.53,29933.36,0.118,0.8134,9.24
Out,Nordeste,Graduação,Presencial,Unidade Sul,61,64,49431.79,30235.66,0.045,0.8597,8.71
Out,Nordeste,Graduação,Híbrido,Unidade Norte,54,57,44691.84,27218.1,0.0986,0.824,9.3
Out,Nordeste,Pós-Graduação,Online,Unidade Centro,60,64,70273.14,40738.37,0.0985,0.8024,8.91
Out,Nordeste,Pós-Graduação,Presencial,Unidade Norte,61,64,76655.08,44751.05,0.0887,0.8438,8.06
Out,Nordeste,Pós-Graduação,Híbrido,Unidade Sul,54,57,65990.73,41665.35,0.0836,0.8174,8.49
Out,Nordeste,Cursos Livres,Online,Unidade Centro,66,72,27840.69,19261.71,0.0465,0.8806,8.08
Out,Nordeste,Cursos Livres,Presencial,Unidade Sul,65,71,27197.07,17049.17,0.0729,0.8446,7.91
Out,Nordeste,Cursos Livres,Híbrido,Unidade Norte,61,65,24472.11,14671.82,0.1029,0.837,8.08
Nov,Sudeste,Graduação,Online,Unidade Norte,64,68,51777.62,35829.89,0.0501,0.8669,8.23
Nov,Sudeste,Graduação,Presencial,Unidade Sul,64,69,54715.42,33300.31,0.0842,0.8611,8.28
Nov,Sudeste,Graduação,Híbrido,Unidade Norte,52,58,44892.97,26063.29,0.1058,0.8252,9.44
Nov,Sudeste,Pós-Graduação,Online,Unidade Norte,52,56,61505.63,35634.89,0.1006,0.8356,8.89
Nov,Sudeste,Pós-Graduação,Presencial,Unidade Norte,60,64,69537.27,47697.11,0.0957,0.8146,9.26
Nov,Sudeste,Pós-Graduação,Híbrido,Unidade Centro,54,58,64845.69,43644.82,0.0878,0.8605,9.05
Nov,Sudeste,Cursos Livres,Online,Unidade Sul,58,65,24640.87,17127.1,0.0467,0.8592,8.66
Nov,Sudeste,Cursos Livres,Presencial,Unidade Sul,59,67,23844.39,15461.18,0.098,0.8358,9.47
Nov,Sudeste,Cursos Livres,Híbrido,Unidade Centro,63,67,25383.16,17667.15,0.0423,0.8666,8.44
Nov,Sul,Graduação,Online,Unidade Centro,56,64,49590.67,32122.37,0.0489,0.8631,9.33
Nov,Sul,Graduação,Presencial,Unidade Norte,57,60,48421.96,32631.4,0.1063,0.8269,9.01
Nov,Sul,Graduação,Híbrido,Unidade Norte,63,67,53122.24,32687.49,0.1124,0.8006,8.84
Nov,Sul,Pós-Graduação,Online,Unidade Sul,64,67,79151.58,44795.96,0.1075,0.8298,9.06
Nov,Sul,Pós-Graduação,Presencial,Unidade Sul,63,67,72346.49,42821.27,0.054,0.8532,9.22
Nov,Sul,Pós-Graduação,Híbrido,Unidade Norte,57,60,70906.08,43341.05,0.0572,0.8748,9.1
Nov,Sul,Cursos Livres,Online,Unidade Sul,67,76,27388.0,18654.9,0.1046,0.8424,8.91
Nov,Sul,Cursos Livres,Presencial,Unidade Norte,61,69,24623.36,14947.86,0.0758,0.8512,8.73
Nov,Sul,Cursos Livres,Híbrido,Unidade Centro,65,68,27242.86,15504.4,0.0414,0.8875,9.44
Nov,Nordeste,Graduação,Online,Unidade Sul,56,58,49555.27,32656.96,0.1003,0.8095,9.44
Nov,Nordeste,Graduação,Presencial,Unidade Centro,62,66,52872.2,29621.71,0.0908,0.8367,8.0
Nov,Nordeste,Graduação,Híbrido,Unidade Norte,55,61,44470.49,26459.4,0.0775,0.8574,8.31
Nov,Nordeste,Pós-Graduação,Online,Unidade Sul,61,66,70012.08,48893.23,0.1102,0.7959,8.38
Nov,Nordeste,Pós-Graduação,Presencial,Unidade Sul,52,57,60774.54,41226.68,0.1036,0.8447,9.49
Nov,Nordeste,Pós-Graduação,Híbrido,Unidade Sul,62,69,72557.17,40261.75,0.0576,0.868,8.69
Nov,Nordeste,Cursos Livres,Online,Unidade Sul,65,71,28334.61,17431.15,0.0857,0.8384,8.34
Nov,Nordeste,Cursos Livres,Presencial,Unidade Sul,53,60,21905.66,14640.0,0.0532,0.8883,8.56
Nov,Nordeste,Cursos Livres,Híbrido,Unidade Norte,55,60,23128.56,16018.37,0.0483,0.8825,8.91
Dez,Sudeste,Graduação,Online,Unidade Norte,41,46,36536.18,20312.83,0.0615,0.8682,7.8
Dez,Sudeste,Graduação,Presencial,Unidade Sul,36,38,29498.47,17091.85,0.0621,0.8393,8.62
Dez,Sudeste,Graduação,Híbrido,Unidade Centro,41,46,34760.4,23463.19,0.0873,0.8358,7.88
Dez,Sudeste,Pós-Graduação,Online,Unidade Centro,40,43,49452.41,30143.83,0.0858,0.8386,9.38
Dez,Sudeste,Pós-Graduação,Presencial,Unidade Norte,39,43,48289.21,31451.39,0.0825,0.8235,7.85
Dez,Sudeste,Pós-Graduação,Híbrido,Unidade Centro,48,52,55477.38,38065.34,0.062,0.8683,8.5
Dez,Sudeste,Cursos Livres,Online,Unidade Norte,39,44,16666.01,11323.42,0.0637,0.8504,9.03
Dez,Sudeste,Cursos Livres,Presencial,Unidade Sul,36,40,14753.5,8963.87,0.0448,0.875,7.99
Dez,Sudeste,Cursos Livres,Híbrido,Unidade Centro,44,50,17726.54,10603.35,0.0877,0.8348,8.49
Dez,Sul,Graduação,Online,Unidade Norte,47,52,40623.45,26218.96,0.0943,0.8376,7.82
Dez,Sul,Graduação,Presencial,Unidade Norte,37,41,30362.84,20475.26,0.0537,0.8644,8.7
Dez,Sul,Graduação,Híbrido,Unidade Centro,37,40,29914.32,16649.14,0.0738,0.8614,8.78
Dez,Sul,Pós-Graduação,Online,Unidade Sul,46,48,53632.6,36350.9,0.0773,0.8319,8.46
Dez,Sul,Pós-Graduação,Presencial,Unidade Sul,36,38,43383.75,26790.27,0.1089,0.8116,8.45
Dez,Sul,Pós-Graduação,Híbrido,Unidade Sul,45,48,51833.92,31564.07,0.1112,0.8382,7.85
Dez,Sul,Cursos Livres,Online,Unidade Norte,42,47,17050.17,10246.56,0.0917,0.8561,9.41
Dez,Sul,Cursos Livres,Presencial,Unidade Centro,44,48,18733.0,12205.83,0.0672,0.8792,8.33
Dez,Sul,Cursos Livres,Híbrido,Unidade Norte,42,44,18242.8,12693.41,0.0864,0.8356,8.08
Dez,Nordeste,Graduação,Online,Unidade Norte,36,37,30616.69,18621.01,0.1171,0.8137,7.85
Dez,Nordeste,Graduação,Presencial,Unidade Centro,40,42,33364.9,20204.43,0.0518,0.8738,9.22
Dez,Nordeste,Graduação,Híbrido,Unidade Centro,41,43,34655.29,19848.39,0.1196,0.8031,8.83
Dez,Nordeste,Pós-Graduação,Online,Unidade Sul,40,44,47233.86,31376.76,0.0833,0.859,8.72
Dez,Nordeste,Pós-Graduação,Presencial,Unidade Centro,46,49,54406.14,35451.48,0.1061,0.8084,8.66
Dez,Nordeste,Pós-Graduação,Híbrido,Unidade Sul,48,51,57932.4,37304.71,0.0678,0.8532,8.55
Dez,Nordeste,Cursos Livres,Online,Unidade Sul,38,41,16410.69,10161.78,0.0988,0.8362,9.15
Dez,Nordeste,Cursos Livres,Presencial,Unidade Sul,40,42,16026.29,11000.74,0.078,0.8448,9.44
Dez,Nordeste,Cursos Livres,Híbrido,Unidade Centro,40,44,16730.22,10910.0,0.043,0.8697,7.9
